id,etapa,tipo,nome,componente
ef-comp-ge-oc-relacao-campo-e-cidade,EF,oc,Relação campo e cidade,ef-comp-ge
ef-comp-ge-oc-relacoes-entre-os-componentes-fisico-naturais,EF,oc,Relações entre os componentes físico-naturais,ef-comp-ge
ef-comp-ge-oc-representacao-das-cidades-e-do-espaco-urbano,EF,oc,Representação das cidades e do espaço urbano,ef-comp-ge
ef-comp-ge-oc-representacoes-cartograficas,EF,oc,Representações cartográficas,ef-comp-ge
ef-comp-ge-oc-riscos-e-cuidados-nos-meios-de-transporte-e-de-comunicacao,EF,oc,Riscos e cuidados nos meios de transporte e de comunicação,ef-comp-ge
ef-comp-ge-oc-sistema-de-orientacao,EF,oc,Sistema de orientação,ef-comp-ge
ef-comp-ge-oc-situacoes-de-convivio-em-diferentes-lugares,EF,oc,Situações de convívio em diferentes lugares,ef-comp-ge
ef-comp-ge-oc-territorio-e-diversidade-cultural,EF,oc,Território e diversidade cultural,ef-comp-ge
ef-comp-ge-oc-territorio-redes-e-urbanizacao,EF,oc,"Território, redes e urbanização",ef-comp-ge
ef-comp-ge-oc-territorios-etnico-culturais,EF,oc,Territórios étnico-culturais,ef-comp-ge
ef-comp-ge-oc-tipos-de-trabalho-em-lugares-e-tempos-diferentes,EF,oc,Tipos de trabalho em lugares e tempos diferentes,ef-comp-ge
ef-comp-ge-oc-trabalho-e-inovacao-tecnologica,EF,oc,Trabalho e inovação tecnológica,ef-comp-ge
ef-comp-ge-oc-trabalho-no-campo-e-na-cidade,EF,oc,Trabalho no campo e na cidade,ef-comp-ge
ef-comp-ge-oc-transformacao-das-paisagens-naturais-e-antropicas,EF,oc,Transformação das paisagens naturais e antrópicas,ef-comp-ge
ef-comp-ge-oc-transformacoes-do-espaco-na-sociedade-urbano-industrial,EF,oc,Transformações do espaço na sociedade urbano-industrial,ef-comp-ge
ef-comp-ge-oc-transformacoes-do-espaco-na-sociedade-urbano-industrial-na-america-latina,EF,oc,Transformações do espaço na sociedade urbano-industrial na América Latina,ef-comp-ge
ef-comp-ge-oc-unidades-politico-administrativas-do-brasil,EF,oc,Unidades político-administrativas do Brasil,ef-comp-ge
ef-comp-ge-ut-conexoes-e-escalas,EF,ut,Conexões e escalas,ef-comp-ge
ef-comp-ge-ut-formas-de-representacao-e-pensamento-espacial,EF,ut,Formas de representação e pensamento espacial,ef-comp-ge
ef-comp-ge-ut-mundo-do-trabalho,EF,ut,Mundo do trabalho,ef-comp-ge
ef-comp-ge-ut-natureza-ambientes-e-qualidade-de-vida,EF,ut,"Natureza, ambientes e qualidade de vida",ef-comp-ge
ef-comp-ge-ut-o-sujeito-e-seu-lugar-no-mundo,EF,ut,O sujeito e seu lugar no mundo,ef-comp-ge
ef-comp-hi-oc-a-acao-das-pessoas-grupos-sociais-e-comunidades-no-tempo-e-no-espaco-nomadismo-agricultura-escrita-navegacoes-industria-entre-outras,EF,oc,"A ação das pessoas, grupos sociais e comunidades no tempo e no espaço: nomadismo, agricultura, escrita, navegações, indústria, entre outras",ef-comp-hi
ef-comp-hi-oc-a-cidade-e-suas-atividades-trabalho-cultura-e-lazer,EF,oc,"A cidade e suas atividades: trabalho, cultura e lazer",ef-comp-hi
ef-comp-hi-oc-a-cidade-seus-espacos-publicos-e-privados-e-suas-areas-de-conservacao-ambiental,EF,oc,"A cidade, seus espaços públicos e privados e suas áreas de conservação ambiental",ef-comp-hi
ef-comp-hi-oc-a-circulacao-de-pessoas-e-as-transformacoes-no-meio-natural,EF,oc,A circulação de pessoas e as transformações no meio natural,ef-comp-hi
ef-comp-hi-oc-a-conquista-da-america-e-as-formas-de-organizacao-politica-dos-indigenas-e-europeus-conflitos-dominacao-e-conciliacao,EF,oc,"A conquista da América e as formas de organização política dos indígenas e europeus: conflitos, dominação e conciliação",ef-comp-hi
